Account,Visibility,ASize,TargetLines,BeT,TargetLine,StopLine,LastUpdatedProfit
APEX-171029-01!Apex!Apex,invisible,25.0,On,,,,
APEX-171029-02!Apex!Apex,invisible,50.0,On,,,,
APEX-171029-03!Apex!Apex,invisible,25.0,On,,,,
APEX-171029-04!Apex!Apex,invisible,25.0,On,,,,
APEX-171029-05!Apex!Apex,invisible,50.0,On,,,,
APEX-171029-06!Apex!Apex,invisible,25.0,On,,,,
APEX-171029-07!Apex!Apex,visible,50.0,On,7.0,3000.0,-1245.0,-95.0
APEX-171029-08!Apex!Apex,invisible,250.0,On,,,,
APEX-171029-09!Apex!Apex,invisible,250.0,On,,,,
Demo,invisible,,Off,,,,
PA-APEX-171029-01!Apex!Apex,invisible,25.0,Off,,,,
PA-APEX-171029-02!Apex!Apex,visible,50.0,On,3.0,3000.0,-2400.0,37.5
Sim101,invisible,,Off,,,,
SimAccount1,invisible,,Off,,,,
SimSimAccount2,invisible,,Off,,,,
